"","area_type","size","total_sqft","bath","balcony","price"
"1","1",2,1056,2,1,39.07
"2","2",4,2600,5,3,120
"3","3",3,1440,2,3,62
"4","1",3,1521,3,1,95
"5","1",2,1200,2,1,51
"6","1",2,1170,2,1,38
"7","1",4,2732,4,1.58437573755015,204
"8","1",4,3300,4,1.58437573755015,600
"9","1",3,1310,3,1,63.25
"10","2",6,1020,6,1.58437573755015,370
"11","1",3,1800,2,2,70
"12","2",4,2785,5,3,295
"13","1",2,1000,2,1,38
"14","3",2,1100,2,2,40
"15","2",3,2250,3,2,148
"16","1",2,1175,2,2,73.5
"17","1",3,1180,3,2,48
"18","1",3,1540,3,3,60
"19","1",3,2770,4,2,290
"20","1",2,1100,2,2,48
"21","3",1,600,1,1,15
"22","1",3,1755,3,1,122
"23","2",4,2800,5,2,380
"24","1",3,1767,3,1,103
"25","1",2.8055074862689,510,1,0,25.25
"26","1",3,1250,3,2,56
"27","1",2,660,1,1,23.1
"28","3",3,1610,3,2,81
"29","1",2,1151,2,2,48.77
"30","1",3,1025,2,1,47
"31","1",4,1554.94202937352,4,0,186
"32","1",3,1075,2,1,35
"33","1",3,1760,2,2,123
"34","1",3,1693,3,3,57.39
"35","3",3,1925,3,1.58437573755015,125
"36","1",2,700,2,1,36
"37","1",2,1070,2,1,45.5
"38","1",3,1724,3,2,125
"39","1",3,1290,2,2,56.12
"40","3",2,1143,2,2,45
"41","3",2,1296,2,1.58437573755015,81
"42","1",3,1254,3,2,38
"43","1",1,600,1,0,38
"44","2",1,660,1,0,48
"45","1",2,1330.74,2,2,91.79
"46","2",8,600,9,1.58437573755015,200
"47","1",2,970,2,0,33
"48","1",2,1459,2,1,94.82
"49","2",2,800,1,1,130
"50","3",2,869,2,1,36
"51","1",2,1270,2,1,50
"52","1",3,1670,3,1,99
"53","3",3,2010,3,2,91
"54","1",2,1185,2,2,75
"55","1",3,1600,2,3,75
"56","1",2,1200,2,2,44
"57","3",4,1554.94202937352,2.69260964746735,1.58437573755015,192
"58","1",2,1500,2,2,185
"59","2",6,1407,4,1,150
"60","1",2,840,2,2,45
"61","2",3,4395,3,2,240
"62","1",2,845,2,1,55
"63","2",4,5700,5,3,650
"64","3",2,1160,2,2,44
"65","3",8,3000,8,0,140
"66","1",2,1100,2,1,62
"67","1",2,1140,2,3,43
"68","1",2,1220,2,1,57
"69","2",8,1350,7,0,85
"70","1",2,1005,2,1,36.68
"71","2",3,500,3,2,100
"72","1",2,1358,2,1,80.58
"73","1",3,1569,3,1,101
"74","1",2,1240,2,1,70
"75","1",3,2089,3,2,140
"76","1",2,1206,2,1,48.23
"77","1",2,1150,2,3,40
"78","3",3,2511,3,3,205
"79","3",2,460,1,0,22
"80","3",6,4400,6,3,250
"81","1",3,1660,2,2,105
"82","3",4,1554.94202937352,2.69260964746735,1.58437573755015,224.5
"83","1",2,1326,2,2,78
"84","1",3,1325,2,2,60.8
"85","1",3,1499,5,2,102
"86","3",6,3000,7,2,210
"87","1",3,1665,3,2,88
"88","1",2,708,2,2,37
"89","1",2,1060,2,2,58.06
"90","2",6,710,6,3,160
"91","3",2,1000,2,2,70
"92","1",2,1000,2,1,28.88
"93","1",3,1450,2,2,70
"94","2",4,1200,4,2,155
"95","1",2,1296,2,3,80
"96","1",3,1540,3,2,90
"97","2",4,2894,4,1,245
"98","1",3,1330,2,1,48
"99","3",2,1200,2,1,65
"100","3",3,1200,3,1,90
"101","1",3,2502,3,3,138
"102","3",2,650,1,1,17
"103","2",3,2400,2,1,150
"104","1",2,1007,2,2,43
"105","1",2,1200,2,2,50
"106","1",2,966,2,2,49.9
"107","3",3,1630,2,1,98
"108","3",3,1640,3,2,229
"109","3",2,782,2,2,55.68
